                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1772,                 1.2726,                 1.1841,                0.47873,                0.73922,                 0.6401,                 0.4448,                 1.0294,                 1.1016,                 1.1651,               0.006733,               0.006733,               0.006733
                     35,                 1.1711,                 1.2621,                 1.1795,                0.47723,                0.74553,                0.64087,                0.44668,                 1.0274,                 1.0988,                 1.1628,               0.006634,               0.006634,               0.006634
                     36,                 1.1675,                 1.2609,                 1.1762,                0.47174,                0.75687,                0.64288,                0.44862,                 1.0253,                 1.0951,                 1.1629,               0.006535,               0.006535,               0.006535
                     37,                 1.1675,                 1.2631,                 1.1767,                0.47023,                0.76266,                0.64353,                0.45158,                 1.0226,                 1.0926,                 1.1595,               0.006436,               0.006436,               0.006436
                     38,                 1.1671,                 1.2624,                 1.1779,                 0.4758,                0.75525,                0.64439,                0.45305,                 1.0174,                 1.0875,                 1.1562,               0.006337,               0.006337,               0.006337
                     39,                 1.1573,                 1.2528,                  1.169,                0.48071,                0.74956,                0.64449,                0.45564,                 1.0151,                  1.085,                 1.1548,               0.006238,               0.006238,               0.006238
                     40,                 1.1644,                 1.2511,                 1.1765,                0.48558,                0.73875,                0.64506,                 0.4561,                 1.0119,                 1.0819,                 1.1535,               0.006139,               0.006139,               0.006139
                     41,                 1.1528,                 1.2527,                  1.171,                0.48426,                0.74821,                0.64557,                 0.4561,                 1.0089,                 1.0803,                 1.1525,                0.00604,                0.00604,                0.00604
                     42,                 1.1473,                 1.2356,                 1.1709,                 0.4839,                0.74539,                0.64756,                0.45804,                 1.0066,                 1.0795,                  1.151,               0.005941,               0.005941,               0.005941
                     43,                 1.1474,                 1.2449,                  1.166,                0.48901,                0.73591,                0.64889,                0.45931,                 1.0033,                 1.0779,                 1.1496,               0.005842,               0.005842,               0.005842
                     44,                 1.1401,                 1.2364,                 1.1647,                0.48787,                0.73556,                0.64874,                0.45872,                 1.0001,                 1.0762,                 1.1482,               0.005743,               0.005743,               0.005743
                     45,                 1.1314,                 1.2252,                 1.1584,                 0.4866,                0.74508,                0.64887,                0.46013,                0.99758,                 1.0747,                 1.1468,               0.005644,               0.005644,               0.005644
                     46,                 1.1286,                 1.2267,                 1.1551,                 0.4866,                0.74616,                0.64907,                0.45962,                0.99499,                 1.0729,                 1.1453,               0.005545,               0.005545,               0.005545
                     47,                 1.1277,                 1.2177,                 1.1598,                0.48671,                0.74524,                0.64949,                 0.4596,                0.99264,                 1.0713,                 1.1442,               0.005446,               0.005446,               0.005446
                     48,                 1.1189,                 1.2139,                 1.1514,                0.48897,                0.74032,                0.64952,                0.46056,                0.99059,                 1.0696,                 1.1432,               0.005347,               0.005347,               0.005347
                     49,                 1.1236,                 1.2159,                 1.1508,                0.48559,                0.74673,                0.64916,                 0.4619,                 0.9883,                 1.0681,                 1.1418,               0.005248,               0.005248,               0.005248
                     50,                 1.1093,                 1.2102,                 1.1486,                0.48459,                0.74754,                0.64929,                0.46136,                0.98602,                 1.0672,                 1.1405,               0.005149,               0.005149,               0.005149
                     51,                 1.1017,                 1.2048,                 1.1461,                 0.4848,                0.74587,                0.64951,                 0.4618,                0.98373,                 1.0664,                 1.1394,                0.00505,                0.00505,                0.00505
