                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0692,                 4.5256,                 1.8953,                0.35319,                0.18741,                 0.0979,                0.04048,                 2.0274,                 3.5267,                 1.9114,              0.0033309,              0.0033309,              0.0033309
                      1,                   1.97,                 3.3028,                 1.7655,                 0.2438,                0.23211,                0.14626,                0.05761,                 2.0573,                 3.1227,                 1.9753,              0.0065982,              0.0065982,              0.0065982
                      2,                 2.0263,                 2.9737,                 1.8282,                 0.1674,                 0.2281,                0.11702,                0.04746,                 2.1581,                 3.3009,                 2.0563,              0.0097996,              0.0097996,              0.0097996
                      3,                 2.0345,                 2.8532,                  1.834,                0.34411,                0.28461,                0.22188,                0.09707,                 2.0423,                 2.6843,                 1.9131,               0.009703,               0.009703,               0.009703
                      4,                 1.9655,                 2.6918,                 1.7925,                 0.2595,                0.29896,                0.21833,                0.10029,                 1.9779,                 2.6915,                 1.9329,               0.009703,               0.009703,               0.009703
                      5,                 1.9064,                 2.5636,                  1.739,                 0.3272,                0.40106,                0.29761,                0.15417,                 1.8943,                 2.4005,                 1.8311,               0.009604,               0.009604,               0.009604
                      6,                  1.868,                 2.4703,                 1.7111,                0.37278,                0.40622,                0.32927,                 0.1572,                 1.8304,                  2.275,                 1.7655,               0.009505,               0.009505,               0.009505
                      7,                 1.8354,                 2.4082,                 1.6817,                0.35849,                 0.4326,                0.33066,                0.17452,                 1.8173,                 2.1942,                 1.7408,               0.009406,               0.009406,               0.009406
                      8,                 1.8057,                 2.3268,                 1.6542,                0.38922,                0.44346,                0.35113,                0.18671,                 1.7764,                 2.1394,                 1.7081,               0.009307,               0.009307,               0.009307
                      9,                  1.778,                 2.2612,                 1.6323,                0.39684,                0.48458,                0.38954,                0.20806,                 1.7227,                 2.0726,                 1.6834,               0.009208,               0.009208,               0.009208
                     10,                 1.7471,                 2.1893,                 1.6067,                0.41981,                0.50185,                0.41485,                0.21919,                 1.7109,                 1.9768,                 1.6564,               0.009109,               0.009109,               0.009109
