                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0595,                 1.1661,                 1.1264,                0.48096,                0.74858,                0.64875,                0.45606,                0.99827,                 1.0799,                 1.1494,               0.003466,               0.003466,               0.003466
                     35,                 1.0474,                  1.152,                 1.1193,                0.47497,                 0.7632,                0.64901,                0.45861,                0.99427,                 1.0781,                 1.1473,               0.003268,               0.003268,               0.003268
                     36,                 1.0374,                 1.1475,                 1.1126,                0.47483,                0.76416,                0.64872,                0.45767,                0.98868,                 1.0758,                  1.145,                0.00307,                0.00307,                0.00307
                     37,                 1.0283,                 1.1446,                 1.1083,                0.47361,                0.77041,                0.64859,                0.45869,                0.98267,                 1.0728,                 1.1415,               0.002872,               0.002872,               0.002872
                     38,                 1.0226,                 1.1376,                  1.109,                 0.4775,                0.75657,                0.64881,                0.46197,                0.97837,                 1.0699,                 1.1386,               0.002674,               0.002674,               0.002674
                     39,                 1.0064,                 1.1237,                 1.0983,                0.47707,                0.76731,                0.64974,                0.46449,                0.97424,                 1.0664,                 1.1371,               0.002476,               0.002476,               0.002476
                     40,                 0.9225,                0.99365,                 1.0973,                0.47917,                0.76105,                0.65131,                0.46706,                0.96656,                 1.0619,                 1.1334,               0.002278,               0.002278,               0.002278
                     41,                0.89462,                0.97639,                 1.0821,                 0.4801,                0.76604,                0.65249,                0.46929,                0.95861,                 1.0571,                 1.1299,                0.00208,                0.00208,                0.00208
                     42,                0.87097,                0.96145,                 1.0691,                0.47787,                0.77111,                0.65355,                0.47153,                0.95186,                 1.0535,                 1.1274,               0.001882,               0.001882,               0.001882
                     43,                0.85326,                0.95007,                 1.0596,                 0.4774,                0.77242,                0.65422,                0.47279,                0.94596,                 1.0507,                 1.1248,               0.001684,               0.001684,               0.001684
                     44,                0.83672,                0.94209,                  1.049,                0.47981,                0.76785,                0.65483,                0.47416,                0.94128,                 1.0489,                  1.123,               0.001486,               0.001486,               0.001486
                     45,                0.82073,                0.93381,                 1.0404,                0.48784,                0.74743,                0.65543,                0.47667,                0.93635,                 1.0459,                 1.1209,               0.001288,               0.001288,               0.001288
                     46,                0.80711,                0.92254,                 1.0333,                0.48917,                0.74451,                0.65549,                0.47794,                0.93199,                 1.0436,                 1.1188,                0.00109,                0.00109,                0.00109
                     47,                0.79153,                0.91593,                 1.0273,                0.48888,                0.74681,                0.65568,                 0.4795,                0.92802,                 1.0419,                  1.117,               0.000892,               0.000892,               0.000892
                     48,                0.77785,                0.90695,                 1.0188,                 0.4903,                0.74427,                 0.6561,                0.48015,                0.92428,                  1.041,                 1.1153,               0.000694,               0.000694,               0.000694
                     49,                0.76406,                0.90101,                 1.0108,                0.48816,                0.74673,                0.65633,                0.48101,                0.92135,                   1.04,                  1.114,               0.000496,               0.000496,               0.000496
