                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0751,                 4.5169,                 1.8978,                0.18844,                0.17808,                0.09059,                0.03594,                 2.0441,                 3.5541,                 1.9169,              0.0033309,              0.0033309,              0.0033309
                      1,                 1.9682,                 3.3117,                  1.775,                0.14431,                0.19922,                0.09693,                0.03933,                 2.1534,                 3.1823,                 1.9897,              0.0065323,              0.0065323,              0.0065323
                      2,                  2.027,                 2.9783,                 1.8265,                0.25904,                0.25766,                0.12861,                0.05656,                 2.1334,                 3.2342,                  2.029,              0.0096016,              0.0096016,              0.0096016
                      3,                 2.0309,                 2.8549,                 1.8322,                0.26573,                0.29519,                0.21154,                0.09759,                 2.0048,                 2.6633,                 1.9178,               0.009406,               0.009406,               0.009406
                      4,                 1.9649,                 2.6909,                 1.7852,                0.31508,                0.32078,                 0.2729,                0.13325,                 1.9258,                 2.5334,                 1.8902,               0.009406,               0.009406,               0.009406
                      5,                  1.899,                 2.5541,                 1.7345,                0.37394,                0.35647,                 0.2751,                0.13331,                 1.9208,                  2.521,                 1.8359,               0.009208,               0.009208,               0.009208
                      6,                  1.859,                 2.4709,                 1.7026,                0.35475,                0.40388,                0.31064,                0.15678,                 1.8596,                 2.3542,                 1.7897,                0.00901,                0.00901,                0.00901
                      7,                 1.8326,                 2.4051,                 1.6813,                0.37506,                0.45171,                0.33652,                0.17803,                 1.7955,                 2.1987,                  1.751,               0.008812,               0.008812,               0.008812
                      8,                 1.8019,                 2.3079,                 1.6509,                0.38047,                0.45071,                0.35985,                0.19028,                 1.7786,                  2.149,                 1.7292,               0.008614,               0.008614,               0.008614
                      9,                 1.7687,                 2.2452,                 1.6239,                0.35755,                0.46492,                0.36718,                0.19155,                 1.7328,                 2.0734,                 1.6838,               0.008416,               0.008416,               0.008416
                     10,                 1.7325,                 2.1709,                 1.6004,                0.41726,                0.51731,                0.41658,                0.22279,                 1.6905,                 1.9736,                  1.657,               0.008218,               0.008218,               0.008218
                     11,                 1.7148,                 2.1212,                  1.577,                0.44522,                0.51741,                 0.4333,                0.24149,                 1.6553,                 1.9253,                 1.6078,                0.00802,                0.00802,                0.00802
                     12,                  1.685,                 2.0694,                 1.5593,                  0.417,                0.51767,                0.43455,                0.24461,                 1.6309,                 1.8599,                 1.5902,               0.007822,               0.007822,               0.007822
                     13,                 1.6689,                  2.026,                 1.5423,                0.44434,                 0.5451,                0.47058,                0.26514,                 1.6164,                 1.8289,                 1.5892,               0.007624,               0.007624,               0.007624
                     14,                 1.6579,                  1.986,                 1.5329,                 0.4316,                0.56514,                0.46783,                0.26874,                 1.5838,                  1.763,                 1.5545,               0.007426,               0.007426,               0.007426
                     15,                 1.6325,                 1.9531,                 1.5104,                0.42269,                 0.5782,                0.46809,                0.27133,                 1.5738,                 1.7329,                 1.5415,               0.007228,               0.007228,               0.007228
                     16,                 1.6119,                  1.916,                 1.4966,                0.43636,                0.58426,                0.49016,                0.28436,                 1.5488,                  1.702,                 1.5243,                0.00703,                0.00703,                0.00703
                     17,                 1.6022,                  1.882,                 1.4842,                0.44359,                0.60953,                0.50234,                 0.2885,                 1.5146,                 1.6628,                    1.5,               0.006832,               0.006832,               0.006832
                     18,                 1.5902,                 1.8475,                 1.4692,                0.43935,                0.61977,                0.51402,                0.29702,                  1.524,                 1.6294,                 1.4916,               0.006634,               0.006634,               0.006634
                     19,                 1.5721,                 1.8247,                 1.4671,                0.44438,                0.62956,                0.51571,                0.30769,                 1.4812,                 1.5932,                 1.4728,               0.006436,               0.006436,               0.006436
                     20,                 1.5577,                 1.8079,                 1.4501,                0.44305,                0.63278,                0.52476,                 0.3105,                  1.468,                 1.5828,                 1.4563,               0.006238,               0.006238,               0.006238
                     21,                 1.5358,                 1.7826,                 1.4308,                0.45751,                0.62793,                0.52885,                 0.3225,                 1.4538,                 1.5535,                 1.4489,                0.00604,                0.00604,                0.00604
                     22,                 1.5274,                 1.7421,                 1.4282,                0.45159,                0.65193,                0.54684,                0.32654,                 1.4432,                 1.5244,                 1.4363,               0.005842,               0.005842,               0.005842
                     23,                 1.5132,                 1.7172,                 1.4136,                0.46716,                0.64718,                0.54865,                0.33067,                 1.4272,                 1.5007,                 1.4246,               0.005644,               0.005644,               0.005644
                     24,                  1.499,                 1.7095,                  1.405,                0.46999,                0.64574,                 0.5591,                0.33628,                 1.4214,                  1.486,                 1.4189,               0.005446,               0.005446,               0.005446
                     25,                 1.4867,                 1.6819,                 1.3969,                0.46198,                0.66575,                0.55413,                0.33843,                 1.4003,                 1.4663,                  1.403,               0.005248,               0.005248,               0.005248
                     26,                 1.4695,                 1.6583,                 1.3833,                 0.4689,                0.65504,                0.55513,                0.34648,                 1.3755,                  1.451,                 1.3925,                0.00505,                0.00505,                0.00505
                     27,                 1.4607,                 1.6367,                  1.374,                0.46303,                0.67055,                0.56343,                0.35061,                 1.3792,                 1.4309,                 1.3897,               0.004852,               0.004852,               0.004852
                     28,                 1.4474,                  1.629,                 1.3718,                 0.4699,                 0.6794,                 0.5745,                0.35451,                 1.3705,                 1.4165,                 1.3857,               0.004654,               0.004654,               0.004654
                     29,                 1.4305,                 1.5997,                 1.3573,                0.46332,                0.69166,                0.57479,                0.35773,                 1.3505,                 1.3982,                 1.3713,               0.004456,               0.004456,               0.004456
                     30,                 1.4157,                   1.58,                 1.3472,                0.47186,                0.68355,                0.57556,                0.36362,                 1.3383,                 1.3891,                 1.3615,               0.004258,               0.004258,               0.004258
