                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93704,                 1.0756,                 1.0715,                0.47544,                0.76067,                0.64017,                0.45355,                 1.0144,                 1.0946,                 1.1611,              0.0033309,              0.0033309,              0.0033309
                      1,                 1.0026,                 1.1232,                 1.0983,                0.47489,                0.73875,                0.62083,                0.42047,                    1.1,                 1.1535,                 1.2088,              0.0065982,              0.0065982,              0.0065982
                      2,                 1.1361,                 1.2328,                 1.1637,                0.42525,                0.63412,                0.51685,                0.31171,                  1.422,                 1.4571,                 1.4175,              0.0097996,              0.0097996,              0.0097996
                      3,                 1.2876,                 1.3874,                 1.2434,                0.42883,                0.69186,                0.55012,                0.33597,                  1.362,                 1.3923,                 1.3643,               0.009703,               0.009703,               0.009703
                      4,                 1.3182,                 1.4299,                 1.2623,                0.45723,                0.66881,                0.58295,                0.34745,                 1.3257,                 1.3585,                 1.3457,               0.009703,               0.009703,               0.009703
                      5,                 1.3172,                 1.4322,                 1.2643,                0.44783,                0.66444,                0.56006,                0.34657,                 1.3584,                 1.3911,                 1.3675,               0.009604,               0.009604,               0.009604
                      6,                 1.3176,                 1.4289,                 1.2652,                0.46079,                0.65581,                0.57692,                0.35841,                 1.3258,                 1.3348,                 1.3404,               0.009505,               0.009505,               0.009505
                      7,                 1.3237,                 1.4345,                 1.2696,                0.46351,                0.66658,                0.57743,                0.35769,                 1.3247,                 1.3282,                 1.3496,               0.009406,               0.009406,               0.009406
                      8,                 1.3159,                 1.4218,                 1.2599,                0.45171,                0.68609,                0.58709,                0.36582,                 1.3036,                 1.3103,                 1.3331,               0.009307,               0.009307,               0.009307
                      9,                 1.3166,                 1.4234,                  1.262,                0.46974,                0.69962,                0.60647,                 0.3833,                 1.2732,                 1.2842,                 1.3167,               0.009208,               0.009208,               0.009208
                     10,                 1.3014,                 1.4037,                 1.2583,                0.46027,                0.71932,                0.59681,                0.38219,                 1.2638,                 1.2746,                 1.3048,               0.009109,               0.009109,               0.009109
                     11,                 1.2962,                 1.4008,                 1.2543,                0.47011,                 0.6911,                0.60229,                0.38399,                 1.2739,                 1.2783,                 1.3113,                0.00901,                0.00901,                0.00901
                     12,                 1.2902,                 1.3913,                  1.249,                0.47528,                0.66477,                0.60996,                0.38838,                 1.2436,                 1.2649,                 1.2956,               0.008911,               0.008911,               0.008911
                     13,                  1.287,                  1.387,                 1.2437,                 0.4884,                0.67416,                0.60631,                 0.3855,                 1.2556,                 1.2512,                 1.2922,               0.008812,               0.008812,               0.008812
                     14,                 1.2873,                 1.3765,                 1.2459,                0.49898,                 0.6703,                0.61526,                0.39549,                 1.2316,                 1.2384,                 1.2814,               0.008713,               0.008713,               0.008713
                     15,                 1.2787,                 1.3747,                 1.2428,                0.47114,                 0.7067,                0.61177,                0.39596,                 1.2183,                 1.2306,                 1.2726,               0.008614,               0.008614,               0.008614
                     16,                 1.2756,                 1.3768,                 1.2398,                0.47334,                0.68931,                0.61366,                0.40076,                 1.1994,                 1.2265,                 1.2586,               0.008515,               0.008515,               0.008515
