                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1394,                  1.236,                 1.1704,                0.48441,                0.73887,                0.63954,                0.44534,                 1.0395,                 1.1061,                 1.1721,               0.004555,               0.004555,               0.004555
                     35,                 1.1295,                 1.2257,                  1.163,                0.48252,                0.74804,                0.63996,                0.44721,                 1.0358,                 1.1023,                 1.1705,                0.00439,                0.00439,                0.00439
                     36,                 1.1236,                 1.2214,                 1.1563,                0.47554,                0.76272,                0.64266,                0.44787,                  1.032,                 1.0994,                 1.1679,               0.004225,               0.004225,               0.004225
                     37,                 1.1193,                  1.218,                 1.1542,                0.48018,                0.75652,                0.64168,                0.45091,                 1.0271,                 1.0959,                 1.1648,                0.00406,                0.00406,                0.00406
                     38,                 1.1097,                  1.213,                 1.1536,                0.47886,                0.75668,                0.64449,                0.45308,                  1.022,                 1.0923,                 1.1616,               0.003895,               0.003895,               0.003895
                     39,                 1.0991,                  1.199,                 1.1445,                 0.4771,                0.76579,                0.64526,                0.45475,                 1.0186,                 1.0905,                 1.1596,                0.00373,                0.00373,                0.00373
                     40,                 1.0961,                 1.1943,                 1.1439,                0.47524,                0.76714,                0.64626,                0.45527,                 1.0148,                 1.0874,                 1.1573,               0.003565,               0.003565,               0.003565
                     41,                 1.0811,                  1.191,                 1.1381,                0.47471,                0.76383,                0.64673,                0.45699,                 1.0122,                 1.0845,                 1.1568,                 0.0034,                 0.0034,                 0.0034
                     42,                 1.0775,                 1.1742,                 1.1377,                0.47937,                0.76299,                0.65017,                0.45742,                 1.0095,                 1.0845,                 1.1551,               0.003235,               0.003235,               0.003235
                     43,                 1.0679,                 1.1725,                 1.1297,                0.47981,                0.75672,                0.65077,                0.45898,                 1.0053,                 1.0816,                 1.1523,                0.00307,                0.00307,                0.00307
                     44,                 1.0571,                 1.1664,                 1.1249,                0.48011,                 0.7591,                0.65106,                0.46047,                  1.002,                 1.0792,                 1.1504,               0.002905,               0.002905,               0.002905
                     45,                 1.0435,                 1.1485,                 1.1171,                0.48055,                0.75504,                0.65179,                0.46125,                0.99855,                 1.0773,                  1.149,                0.00274,                0.00274,                0.00274
                     46,                 1.0405,                 1.1508,                 1.1147,                0.48533,                0.74673,                0.65207,                0.46271,                0.99507,                 1.0755,                 1.1471,               0.002575,               0.002575,               0.002575
                     47,                 1.0247,                 1.1385,                 1.1108,                0.48276,                0.74942,                0.65196,                0.46193,                0.99282,                 1.0737,                 1.1462,                0.00241,                0.00241,                0.00241
                     48,                 1.0121,                 1.1278,                 1.1033,                0.48333,                0.74761,                0.65258,                0.46193,                0.99033,                 1.0721,                  1.145,               0.002245,               0.002245,               0.002245
                     49,                 1.0114,                 1.1279,                 1.1012,                0.48655,                0.74604,                0.65284,                0.46324,                0.98783,                 1.0711,                 1.1437,                0.00208,                0.00208,                0.00208
                     50,                0.92118,                0.99637,                 1.1008,                0.48442,                0.75251,                0.65311,                0.46461,                0.98436,                 1.0695,                 1.1422,               0.001915,               0.001915,               0.001915
                     51,                 0.8916,                0.97642,                 1.0838,                0.48439,                0.75536,                 0.6533,                0.46548,                0.98066,                 1.0678,                 1.1404,                0.00175,                0.00175,                0.00175
                     52,                0.86935,                  0.964,                 1.0709,                0.48451,                0.75369,                0.65351,                0.46662,                0.97675,                 1.0657,                 1.1389,               0.001585,               0.001585,               0.001585
                     53,                0.85856,                0.95444,                 1.0629,                0.48634,                0.75589,                0.65384,                0.46664,                0.97293,                 1.0633,                 1.1372,                0.00142,                0.00142,                0.00142
                     54,                0.84249,                0.94557,                 1.0536,                0.48733,                0.75496,                0.65429,                0.46775,                0.96931,                 1.0613,                 1.1353,               0.001255,               0.001255,               0.001255
                     55,                0.82496,                0.93722,                 1.0447,                0.48778,                0.75403,                0.65445,                0.46784,                0.96628,                 1.0598,                  1.134,                0.00109,                0.00109,                0.00109
                     56,                0.81526,                0.93143,                 1.0415,                0.48824,                0.75249,                0.65464,                0.46897,                0.96292,                 1.0583,                 1.1323,               0.000925,               0.000925,               0.000925
                     57,                0.79872,                0.92175,                 1.0324,                0.48678,                0.75568,                0.65502,                0.46971,                0.95982,                 1.0569,                 1.1308,                0.00076,                0.00076,                0.00076
                     58,                0.78773,                0.91601,                 1.0231,                0.48819,                0.75186,                0.65532,                0.47025,                0.95699,                 1.0556,                 1.1296,               0.000595,               0.000595,               0.000595
                     59,                0.77618,                0.91074,                 1.0198,                0.49078,                 0.7478,                0.65548,                0.47155,                0.95454,                 1.0549,                 1.1285,                0.00043,                0.00043,                0.00043
